school_name,post_text,timestamp,comments,reactions,shares,year,month,day,weekday,week,week_start,month_start
Cobb_Montessori,"Our Primary campers had another amazing visit from Roaring Brook Nature Center!  This time, they got up close with a turtle, a snake, and a few other fascinating creatures. Hands-on learning and lots of wide eyes and smiles!  #NatureExplorers #CobbCamp #RoaringBrookVisit @roaringbrooknaturecenter",2025-06-26,0,5,0,2025.0,6.0,26.0,Thursday,26,2025-06-23,2025-06-01
Cobb_Montessori,"Cobb Alum Spotlight: Lizzy Strapp 
A proud Cobb graduate, Lizzy recently earned her degree from Dartmouth College, where she double majored in English and Classics. During her time at Dartmouth, she also captained the women’s club soccer team and served as the sisterhood chair for her sorority, Kappa Delta Epsilon.
This July, Lizzy is headed to Boston to begin her new role as an underwriting and claims associate with Berkley Environmental, a Berkley Company.
When asked about a favorite Cobb memory, Lizzy shared:
“Anytime Troy and Circus Smirkus visited! I learned to juggle and walk on the rolling globe—it was a giant ball you stood on. I’ll never forget it!” 
We’re so proud of you, Lizzy!  #CobbAlum #CobbSchool #CircusSmirkus #CobbPride #DartmouthGrad #ThisIsCobb @bigtopadventures",2025-06-25,6,20,0,2025.0,6.0,25.0,Wednesday,26,2025-06-23,2025-06-01
Cobb_Montessori,"Cobb Alum Spotlight: Jamison Burnett 
Congratulations to Jamison Burnett, Cobb Class of 2019, who just graduated from the Watkinson School this June! Jamison attended Cobb from Primary through 6th grade, and we’re so proud to see all he’s accomplished.
This summer, he’s keeping busy—working at a restaurant, heading out west on an adventure with friends, and getting ready for his next big chapter at the University of Vermont this fall! 
Way to go, Jamison! Your Cobb community is cheering you on every step of the way.  #CobbAlum #CobbPride #UVMBound #WatkinsonGrad #AlumniSpotlight",2025-06-24,1,11,1,2025.0,6.0,24.0,Tuesday,26,2025-06-23,2025-06-01
Cobb_Montessori,"A few Cobb families gathered for a special afternoon at Tallwoods Farm!
This unique experience was one of the items from our annual school auction. Families enjoyed the peaceful farm setting, connected with animals, explored the grounds, and spent quality time together in nature.
Thank you to everyone who helped make this memory-filled outing possible! 
#CobbSchool #TallwoodsFarm #CommunityConnections #AuctionExperience #LearningBeyondTheClassroom",2025-06-23,1,8,0,2025.0,6.0,23.0,Monday,26,2025-06-23,2025-06-01
Cobb_Montessori,"Student-Led Recycling Challenge Makes a Global Impact!  Two of our inspiring Upper Elementary students, Lucas and Pablo, launched a school-wide recycling challenge, and it was a huge success! 
Each Elementary classroom joined in the fun, with weekly tallies and a bit of friendly competition to collect bottles and cans for a good cause. For two months, Lucas and Pablo diligently counted every contribution, plus a few generous cash donations, and raised an amazing $300! 
The funds will be donated to three organizations in Colombia:
 a local hospital
 a nonprofit supporting the blind
 an organization serving vulnerable girls
We’re so proud of these young changemakers and the way our community came together for the greater good.  #CobbSchoolCommunity #StudentLeaders #RecyclingChallenge #GlobalImpact #KidsCanMakeADifference #ThisIsCobb",2025-06-23,1,8,0,2025.0,6.0,23.0,Monday,26,2025-06-23,2025-06-01
Cobb_Montessori,"Cobb Alum Spotlight: Tate Jacobs 
Congratulations to Tate Jacobs,  proud graduate of The Forman School! 
Earlier this year, Tate enjoyed an incredible Winterim adventure in Germany, where he explored cars and castles! He toured the BMW, Porsche, Audi, VW, and Mercedes factories and museums, and visited the iconic Nürburgring Racetrack. When not exploring automotive history, he took in Germany’s most famous castles and cities.
Tate capped off the trip with some amazing skiing in Zermatt, Switzerland alongside his dad and brother. 
This fall, Tate will head to the College of Charleston, where he’s considering a major in Commercial Real Estate Finance. We’re excited to see what’s next for him!
#CobbAlum #AlumniSpotlight #MontessoriProud #CobbSchool #FormanSchool #CollegeOfCharleston",2025-06-23,3,21,1,2025.0,6.0,23.0,Monday,26,2025-06-23,2025-06-01
Cobb_Montessori,"Book Drive - Drop Your Books - Monday, June 23
Do you have books you’re ready to pass along? We’re collecting gently used books for the Salvation Army. Drop your books in the large collection box outside the school’s main entrance on Monday, June 23. The books will be picked up on June 24.",2025-06-22,0,2,0,2025.0,6.0,22.0,Sunday,25,2025-06-16,2025-06-01
Cobb_Montessori,"obb Alum Spotlight: Cara Thompson, Class of 2023 
We are thrilled to celebrate Cara Thompson, Cobb graduate and now a proud alum of Henry James Memorial School in Simsbury! Cara’s middle school years were marked by exceptional academic achievement, leadership, and integrity.
 Awards & Honors:
 Mrs. Peters Award — for always following the “HJ Way” with respect, responsibility, and integrity, even during challenging moments.
 President’s Education Award for Outstanding Academic Excellence — achieving a GPA over 4.0!
 HJMS World Language Latin Award — for excellence in Latin studies.
 Magna Cum Laude — for outstanding performance on the National Latin Exam.
 Director’s Choice Award — for leading by example and being an exemplary choir member.
 Certificate of Achievement in Physical Fitness — for top performance on the CT Physical Fitness Assessment.
 STEM Achievement:
Cara was invited to join a special 8th grade Tech Ed class where she and her teammates designed and built an underwater robot. Their team won the SeaPerch State Competition and represented Connecticut at the SeaPerch International Competition at the University of Maryland, competing against 181 teams from around the world!
Cara’s hard work, curiosity, and positive spirit continue to inspire. We can’t wait to see what she does next! 
#CobbAlum #CobbPride #StudentSpotlight #STEM #Leadership #AcademicExcellence #HJWay #SeaPerch #FutureLeader",2025-06-20,2,12,2,2025.0,6.0,20.0,Friday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Our campers had some bug-tastic visitors yesterday! Roaring Brook Nature Center stopped by to share some fascinating facts about insects.  We learned, we laughed, and maybe even made a few new six-legged friends! Thanks for the awesome visit!  #CampLife #NatureLovers #RoaringBrookNatureCenter #InsectAdventures @roaringbrooknaturecenter",2025-06-19,0,7,0,2025.0,6.0,19.0,Thursday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Happy Juneteenth! Today we honor Juneteenth, a powerful reminder of resilience, liberation, and the ongoing pursuit of justice. On June 19, 1865—nearly three years after the Emancipation Proclamation—Union troops arrived in Galveston Bay, Texas, bringing word of freedom to more than 250,000 Black Americans who were still enslaved.
Juneteenth marks the effective end of slavery in the United States and stands as a celebration of Black freedom, culture, and community, as well as a continued call to action for equity and justice for all.
#montessori #cobbschool #freedomday #juneteenth #thisiscobb",2025-06-19,0,2,2,2025.0,6.0,19.0,Thursday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Cobb Alum Spotlight: Owen Reed 
We’re so proud to celebrate Owen Reed, Cobb Class of 2019!
After Cobb, Owen attended Watkinson School (Class of 2025), where he earned a Global Studies dual diploma and was recently honored with both the Watkinson History Award and the Theodore Sizer Award for his intellectual curiosity, collaboration, and responsibility. 
This summer, Owen plans to travel with friends, play ultimate frisbee, and work a summer job—a great balance of fun and growth!
Next up: Tufts University Class of 2029! His major is still undecided, but we know exciting things are ahead. 
#CobbAlum #AlumniSpotlight #MontessoriProud #CobbSchool #Watkinson #Tufts2029",2025-06-18,4,18,0,2025.0,6.0,18.0,Wednesday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Book Drive for a Good Cause! - June 23
Do you have books you’re ready to pass along? We’re collecting gently used books  for the Salvation Army. Drop your books in the large collection box outside the school’s main entrance on Monday, June 23. The books will be picked up on June 24.",2025-06-17,0,2,0,2025.0,6.0,17.0,Tuesday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Calling all Cobb alumni!
Your Cobb family would love to hear from you. Share your news — accomplishments, travels, families, hobbies, careers, or anything else that brings you joy. We’ll feature updates on our social media throughout the year and in our magazine. Click below to upload your news and photos. We can’t wait to celebrate your journey!
https://bit.ly/4kP2yhG",2025-06-17,0,2,0,2025.0,6.0,17.0,Tuesday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Cobb Alum Spotlight: Caroline Burnett 
We are thrilled to celebrate Caroline Burnett, Cobb Class of 2015!
Caroline recently graduated Summa Cum Laude from Salve Regina University, earning her degree in Criminal Justice and Criminology, with minors in Spanish, French, and Women’s Studies. 
She’s now working as an Extraditions Paralegal at the Rhode Island Attorney General’s Office and plans to attend law school next fall. 
Caroline’s journey began in Montessori classrooms, including her time at Cobb from Primary through 6th grade. We couldn’t be prouder to see where her curiosity and dedication have led her! 
#CobbAlum #MontessoriProud #CobbSchool #AlumniSpotlight #SalveRegina #FutureLawyer",2025-06-16,2,21,1,2025.0,6.0,16.0,Monday,25,2025-06-16,2025-06-01
Cobb_Montessori,"Happy Father's Day to all the fathers, and father figures in our Cobb Community! We appreciate everything you do to add joy, love, and support to our community, thank you 
#thisiscobb #fathersday #cobbmontessori",2025-06-15,0,2,0,2025.0,6.0,15.0,Sunday,24,2025-06-09,2025-06-01
Cobb_Montessori,Beachy fun during the first week of summer camp.,2025-06-14,0,3,0,2025.0,6.0,14.0,Saturday,24,2025-06-09,2025-06-01
Cobb_Montessori,Auction winners having fun with Ms Judy at Flamig Farm.,2025-06-11,0,11,0,2025.0,6.0,11.0,Wednesday,24,2025-06-09,2025-06-01
Cobb_Montessori,"SHARE THE WORD: We have an opening in our new Toddler classroom for Fall 2025 or January 2026—don’t miss this opportunity to join our warm, nurturing community from the very start.
Schedule a tour today and come see the magic of Montessori in action! Call 860-658-1144 x107 or visit us online:  https://bit.ly/43fVjrG
#CobbSchoolMontessori #MontessoriToddler #EarlyLearning #NowEnrolling #MontessoriJourneyStartsHeree",2025-06-10,0,6,2,2025.0,6.0,10.0,Tuesday,24,2025-06-09,2025-06-01
